"","Location","State","Date","n"
"1","10 MILE CANYON","CO","1/26/93",1
"2","20 miles northeast of Calder","ID","12/29/10",1
"3","ABASIN BEAVERS","CO","1/25/00",1
"4","ABASIN BEAVERS 2","CO","2/4/96",1
"5","Agassiz Peak, east of ARIZONA SNOWBOWL","AZ","1/30/95",1
"6","ALPINE MDWS","CA","3/31/82",2
"7","ALPINE MEADOWS","CA","3/2/76",1
"8","ALPINE MEADOWS / MUNCHKIN CHUTES / CHADS CLIFF","CA","3/15/90",1
"9","ALTA","UT","1/2/84",1
"10","ALTA","UT","1/29/70",1
"11","ALTA","UT","1/6/76",1
"12","ALTA","UT","11/20/86",1
"13","ALTA","UT","2/19/86",1
"14","ALUM CREEK","NV","12/28/70",1
"15","ANACONDA","MT","4/24/95",1
"16","Aneroid Basin, Eagle Cap Wilderness","OR","3/7/09",1
"17","ANEROID LAKE","OR","2/14/82",1
"18","ARAPAHOE BASIN","CO","1/6/82",1
"19","ARAPAHOE BASIN","CO","11/23/74",1
"20","ARAPAHOE BASIN","CO","11/24/61",1
"21","ARAPAHOE BASIN","CO","11/26/67",1
"22","ARAPAHOE BASIN","CO","2/13/93",1
"23","ARAPAHOE BASIN","CO","3/13/82",1
"24","ARAPAHOE BASIN OB","CO","2/5/91",1
"25","ASHCROFT","CO","12/31/84",1
"26","ASHCROFT / PEARL PASS","CO","1/10/88",1
"27","ASPEN","CO","12/13/84",1
"28","ASPEN HIGHLANDS","CO","1/22/99",1
"29","ASPEN HIGHLANDS","CO","3/31/84",1
"30","ASPEN HURRICANE","CO","1/25/00",1
"31","ASPEN MCFARLANE BOWL","CO","1/23/96",1
"32","ASPEN MTN","CO","12/28/74",1
"33","ASPEN MTN","CO","12/8/72",1
"34","ASPEN MTN","CO","2/23/61",1
"35","ASPEN MTN","CO","2/3/59",1
"36","ASPEN MTN","CO","3/8/98",1
"37","ASPEN MTN (McFarlane Gulch)","CO","3/16/71",1
"38","ASPEN PYRAMID PK","CO","1/27/96",1
"39","B COTTONWOOD","UT","1/11/80",1
"40","Back country to the west of Stevens Pass, WA. Backside of Cowboy Mountain","WA","3/27/11",1
"41","Backcountry near Lookout Pass","ID","4/29/06",1
"42","Bald Mountain, Hatcher Pass","AK","3/19/11",1
"43","BARNARD GLACIER","AK","8/15/93",1
"44","BEAVER CREEK","CO","2/18/92",1
"45","Beehive Basin, near Big Sky","MT","1/20/08",1
"46","BERTHOUD PASS","CO","1/17/76",1
"47","BERTHOUD PASS","CO","3/24/85",1
"48","BERTHOUD PASS","CO","4/1/92",1
